"","especie","temporada","nests","year"
"1","CC","1982-08-01.1983-07-31",48,1982
"2","CC","1983-08-01.1984-07-31",185,1983
"3","CC","1984-08-01.1985-07-31",334,1984
"4","CC","1985-08-01.1986-07-31",299,1985
"5","CC","1986-08-01.1987-07-31",509,1986
"6","CC","1987-08-01.1988-07-31",957,1987
"7","CC","1988-08-01.1989-07-31",1649,1988
"8","CC","1989-08-01.1990-07-31",1657,1989
"9","CC","1990-08-01.1991-07-31",1994,1990
"10","CC","1991-08-01.1992-07-31",1941,1991
"11","CC","1992-08-01.1993-07-31",2326,1992
"12","CC","1993-08-01.1994-07-31",2438,1993
"13","CC","1994-08-01.1995-07-31",2890,1994
"14","CC","1995-08-01.1996-07-31",2993,1995
"15","CC","1996-08-01.1997-07-31",2996,1996
"16","CC","1997-08-01.1998-07-31",2738,1997
"17","CC","1998-08-01.1999-07-31",1851,1998
"18","CC","1999-08-01.2000-07-31",2556,1999
"19","CC","2000-08-01.2001-07-31",3421,2000
"20","CC","2001-08-01.2002-07-31",4181,2001
"21","CC","2002-08-01.2003-07-31",4096,2002
"22","CC","2003-08-01.2004-07-31",4831,2003
"23","CC","2004-08-01.2005-07-31",5262,2004
"24","CC","2005-08-01.2006-07-31",6197,2005
"25","CC","2006-08-01.2007-07-31",5994,2006
"26","CC","2007-08-01.2008-07-31",6112,2007
"27","CC","2008-08-01.2009-07-31",6935,2008
"28","CC","2009-08-01.2010-07-31",6137,2009
"29","CC","2010-08-01.2011-07-31",8397,2010
"30","CC","2011-08-01.2012-07-31",7970,2011
"31","CC","2012-08-01.2013-07-31",8331,2012
"32","CC","2013-08-01.2014-07-31",10070,2013
"33","CC","2014-08-01.2015-07-31",9059,2014
"34","CC","2015-08-01.2016-07-31",13155,2015
"35","CC","2016-08-01.2017-07-31",9806,2016
"36","CC","2017-08-01.2018-07-31",8586,2017
"37","CC","2018-08-01.2019-07-31",9924,2018
"38","CC","2019-08-01.2020-07-31",0,2019
