km,date,day,month,year,group,area
124,10/1/95,10,1,1995,nema,south
66,23/2/1995,23,2,1995,nema,south
121,3/3/95,3,3,1995,nema,south
77,16/3/1995,16,3,1995,nema,south
67,21/4/1995,21,4,1995,nema,south
138,11/5/95,11,5,1995,nema,south
165,12/5/95,12,5,1995,nema,south
209,23/5/1995,23,5,1995,nema,south
266,1/6/95,1,6,1995,nema,south
137,2/6/95,2,6,1995,nema,south
46,5/7/95,5,7,1995,nema,south
214,11/7/95,11,7,1995,nema,south
68,3/8/95,3,8,1995,nema,south
185,7/8/95,7,8,1995,nema,south
13,18/8/1995,18,8,1995,nema,south
36,20/8/1995,20,8,1995,nema,south
16,25/8/1995,25,8,1995,nema,south
214,4/9/95,4,9,1995,nema,south
266,9/9/95,9,9,1995,nema,south
33,16/9/1995,16,9,1995,nema,south
77,19/9/1995,19,9,1995,nema,south
13,25/9/1995,25,9,1995,nema,south
77,6/10/95,6,10,1995,nema,south
52,9/10/95,9,10,1995,nema,south
266,14/10/1995,14,10,1995,nema,south
16,17/10/1995,17,10,1995,nema,south
124,24/10/1995,24,10,1995,nema,south
33,29/10/1995,29,10,1995,nema,south
13,31/10/1995,31,10,1995,nema,south
113,1/11/95,1,11,1995,nema,south
220,2/11/95,2,11,1995,nema,south
124,13/11/1995,13,11,1995,nema,south
33,19/11/1995,19,11,1995,nema,south
77,21/11/1995,21,11,1995,nema,south
139,30/11/1995,30,11,1995,nema,south
11,30/11/1995,30,11,1995,nema,south
124,7/12/95,7,12,1995,nema,south
43,13/12/1995,13,12,1995,nema,south
157,18/12/1995,18,12,1995,nema,south
157,8/1/96,8,1,1996,nema,south
124,13/1/1996,13,1,1996,nema,south
227.4,16/1/1996,16,1,1996,nema,south
16,24/1/1996,24,1,1996,nema,south
217.2,28/2/1996,28,2,1996,nema,south
16,15/3/1996,15,3,1996,nema,south
272,19/3/1996,19,3,1996,nema,south
43,24/3/1996,24,3,1996,nema,south
216,29/3/1996,29,3,1996,nema,south
152.4,14/4/1996,14,4,1996,nema,south
11,25/4/1996,25,4,1996,nema,south
98,29/4/1996,29,4,1996,nema,south
272,1/5/96,1,5,1996,nema,south
108,13/5/1996,13,5,1996,nema,south
11,28/5/1996,28,5,1996,nema,south
170,10/6/96,10,6,1996,nema,south
228,11/6/96,11,6,1996,nema,south
76,13/6/1996,13,6,1996,nema,south
124,15/6/1996,15,6,1996,nema,south
11,18/7/1996,18,7,1996,nema,south
101,14/8/1996,14,8,1996,nema,south
30,15/8/1996,15,8,1996,nema,south
217,16/8/1996,16,8,1996,nema,south
33,17/8/1996,17,8,1996,nema,south
113,28/8/1996,28,8,1996,nema,south
83,30/8/1996,30,8,1996,nema,south
102,11/9/96,11,9,1996,nema,south
77,19/9/1996,19,9,1996,nema,south
200,20/9/1996,20,9,1996,nema,south
119,7/10/96,7,10,1996,nema,south
12,7/10/96,7,10,1996,nema,south
60,30/10/1996,30,10,1996,nema,south
110,4/11/96,4,11,1996,nema,south
12,16/11/1996,16,11,1996,nema,south
220,20/11/1996,20,11,1996,nema,south
77.9,27/11/1996,27,11,1996,nema,south
150,3/12/96,3,12,1996,nema,south
60,5/12/96,5,12,1996,nema,south
170,9/12/96,9,12,1996,nema,south
12,17/12/1996,17,12,1996,nema,south
12,27/1/1997,27,1,1997,nema,south
112,3/2/97,3,2,1997,nema,south
32,8/2/97,8,2,1997,nema,south
11,9/2/97,9,2,1997,nema,south
216,26/2/1997,26,2,1997,nema,south
211,31/3/1997,31,3,1997,nema,south
209,18/4/1997,18,4,1997,nema,south
210.5,20/5/1997,20,5,1997,nema,south
210,10/6/97,10,6,1997,nema,south
77.8,15/7/1997,15,7,1997,nema,south
208.7,16/7/1997,16,7,1997,nema,south
12.3,4/8/97,4,8,1997,nema,south
211,14/8/1997,14,8,1997,nema,south
40,21/8/1997,21,8,1997,nema,south
145,5/9/97,5,9,1997,nema,south
217,25/9/1997,25,9,1997,nema,south
230,20/10/1997,20,10,1997,nema,south
225.4,28/10/1997,28,10,1997,nema,south
85,23/11/1997,23,11,1997,nema,south
214.2,29/11/1997,29,11,1997,nema,south
166,4/12/97,4,12,1997,nema,south
212.8,19/12/1997,19,12,1997,nema,south
70,2/1/98,2,1,1998,nema,south
122,11/1/98,11,1,1998,nema,south
205,29/1/1998,29,1,1998,nema,south
132,26/2/1998,26,2,1998,nema,south
220,20/3/1998,20,3,1998,nema,south
13,24/3/1998,24,3,1998,nema,south
409,27/3/1998,27,3,1998,nema,south
120,24/4/1998,24,4,1998,nema,south
20.5,29/4/1998,29,4,1998,nema,south
15,30/4/1998,30,4,1998,nema,south
205,13/5/1998,13,5,1998,nema,south
50,19/5/1998,19,5,1998,nema,south
32,13/6/1998,13,6,1998,nema,south
106,22/6/1998,22,6,1998,nema,south
13,5/7/98,5,7,1998,nema,south
46,14/7/1998,14,7,1998,nema,south
215,18/7/1998,18,7,1998,nema,south
280.6,22/7/1998,22,7,1998,nema,south
137,5/8/98,5,8,1998,nema,south
57,12/8/98,12,8,1998,nema,south
123,31/8/1998,31,8,1998,nema,south
57,2/9/98,2,9,1998,nema,south
70,8/9/98,8,9,1998,nema,south
34,11/9/98,11,9,1998,nema,south
57,12/9/98,12,9,1998,nema,south
220,24/9/1998,24,9,1998,nema,south
36,29/9/1998,29,9,1998,nema,south
33,1/10/98,1,10,1998,nema,south
15,6/10/98,6,10,1998,nema,south
114,29/10/1998,29,10,1998,nema,south
179,15/11/1998,15,11,1998,nema,south
121.6,20/11/1998,20,11,1998,nema,south
12,26/11/1998,26,11,1998,nema,south
105,6/12/98,6,12,1998,nema,south
100,27/12/1998,27,12,1998,nema,south
137,23/3/1999,23,3,1999,nema,south
231,16/5/1999,16,5,1999,nema,south
47,23/5/1999,23,5,1999,nema,south
13,3/7/99,3,7,1999,nema,south
165,15/7/1999,15,7,1999,nema,south
47.3,11/8/99,11,8,1999,nema,south
60,20/8/1999,20,8,1999,nema,south
106.7,10/9/99,10,9,1999,nema,south
56.6,27/9/1999,27,9,1999,nema,south
33,29/9/1999,29,9,1999,nema,south
50.9,10/10/99,10,10,1999,nema,south
33,15/10/1999,15,10,1999,nema,south
58.3,28/10/1999,28,10,1999,nema,south
48,6/11/99,6,11,1999,nema,south
17,9/11/99,9,11,1999,nema,south
62.8,30/11/1999,30,11,1999,nema,south
50,3/12/99,3,12,1999,nema,south
59,7/12/99,7,12,1999,nema,south
33,8/12/99,8,12,1999,nema,south
60.4,18/1/2000,18,1,2000,nema,south
51.3,19/1/2000,19,1,2000,nema,south
61.1,14/2/2000,14,2,2000,nema,south
49.3,25/2/2000,25,2,2000,nema,south
