spp,date,day,month,year,ccl,obs,area,geraci
Chelonia mydas,10/1/95,10,1,1995,,,south,
Chelonia mydas,10/1/95,10,1,1995,,,south,
Chelonia mydas,10/1/95,10,1,1995,,,south,
Chelonia mydas,10/1/95,10,1,1995,,,south,
Chelonia mydas,10/1/95,10,1,1995,,,south,
Chelonia mydas,11/5/95,11,5,1995,,,south,
Caretta caretta,1/6/95,1,6,1995,77,,south,
Chelonia mydas,2/6/95,2,6,1995,114,,south,
Caretta caretta,9/9/95,9,9,1995,77,sem cabeça. amarrada,south,
Chelonia mydas,9/10/95,9,10,1995,41,,south,
Chelonia mydas,14/10/1995,14,10,1995,45,,south,
Caretta caretta,14/10/1995,14,10,1995,65,,south,
Caretta caretta,14/10/1995,14,10,1995,61,,south,
Chelonia mydas,14/10/1995,14,10,1995,50,,south,
Caretta caretta,14/10/1995,14,10,1995,,,south,
Chelonia mydas,14/10/1995,14,10,1995,50,,south,
Caretta caretta,14/10/1995,14,10,1995,87,,south,
Caretta caretta,24/10/1995,24,10,1995,,,south,
Caretta caretta,24/10/1995,24,10,1995,,,south,
Caretta caretta,29/10/1995,29,10,1995,,,south,
Caretta caretta,29/10/1995,29,10,1995,64,,south,
Caretta caretta,1/11/95,1,11,1995,,,south,
Chelonia mydas,2/11/95,2,11,1995,43,,south,
Caretta caretta,13/11/1995,13,11,1995,87,,south,
Caretta caretta,13/11/1995,13,11,1995,73,,south,
Caretta caretta,13/11/1995,13,11,1995,63,,south,
Chelonia mydas,13/11/1995,13,11,1995,47,,south,
Caretta caretta,13/11/1995,13,11,1995,66,,south,
Caretta caretta,13/11/1995,13,11,1995,75,,south,
Caretta caretta,13/11/1995,13,11,1995,61,,south,
Caretta caretta,13/11/1995,13,11,1995,100,,south,
Caretta caretta,13/11/1995,13,11,1995,65,,south,
Chelonia mydas,13/11/1995,13,11,1995,77,,south,
Caretta caretta,19/11/1995,19,11,1995,111,,south,
Caretta caretta,30/11/1995,30,11,1995,60,sem cabeça,south,
Caretta caretta,30/11/1995,30,11,1995,61,sem cabeça,south,
Caretta caretta,30/11/1995,30,11,1995,75,,south,
Caretta caretta,30/11/1995,30,11,1995,84,sem cabeça,south,
Caretta caretta,30/11/1995,30,11,1995,72,,south,
Caretta caretta,30/11/1995,30,11,1995,71,sem cabeça,south,
Caretta caretta,30/11/1995,30,11,1995,72,,south,
Chelonia mydas,7/12/95,7,12,1995,72,,south,
Chelonia mydas,7/12/95,7,12,1995,88,,south,
Chelonia mydas,7/12/95,7,12,1995,87,,south,
Chelonia mydas,7/12/95,7,12,1995,62,,south,
Chelonia mydas,7/12/95,7,12,1995,86,,south,
Caretta caretta,7/12/95,7,12,1995,76,,south,
Caretta caretta,7/12/95,7,12,1995,83,,south,
Caretta caretta,13/12/1995,13,12,1995,63,,south,
Caretta caretta,13/12/1995,13,12,1995,70,,south,
Caretta caretta,13/12/1995,13,12,1995,109,,south,
Chelonia mydas,18/12/1995,18,12,1995,44,,south,
Caretta caretta,18/12/1995,18,12,1995,96,,south,
Caretta caretta,18/12/1995,18,12,1995,79,,south,
Caretta caretta,18/12/1995,18,12,1995,67,,south,
Chelonia mydas,18/12/1995,18,12,1995,53,,south,
Caretta caretta,8/1/96,8,1,1996,75,,south,
Caretta caretta,8/1/96,8,1,1996,67,,south,
Caretta caretta,16/1/1996,16,1,1996,65,,south,
Caretta caretta,16/1/1996,16,1,1996,64,,south,
Caretta caretta,16/1/1996,16,1,1996,74,,south,
Chelonia mydas,16/1/1996,16,1,1996,71.5,,south,
Chelonia mydas,16/1/1996,16,1,1996,67.5,,south,
Caretta caretta,16/1/1996,16,1,1996,78,,south,
Chelonia mydas,16/1/1996,16,1,1996,73.5,,south,
Chelonia mydas,16/1/1996,16,1,1996,,,south,
Caretta caretta,24/1/1996,24,1,1996,,,south,
Caretta caretta,24/1/1996,24,1,1996,,,south,
Caretta caretta,28/2/1996,28,2,1996,83,,south,
Caretta caretta,28/2/1996,28,2,1996,88,,south,
Chelonia mydas,15/3/1996,15,3,1996,32.5,,south,
Caretta caretta,19/3/1996,19,3,1996,79,com cracas,south,
Caretta caretta,19/3/1996,19,3,1996,110,com cracas,south,
Caretta caretta,19/3/1996,19,3,1996,101,,south,
Caretta caretta,24/3/1996,24,3,1996,90,,south,
Caretta caretta,14/4/1996,14,4,1996,75,,south,
Caretta caretta,14/4/1996,14,4,1996,72,,south,
Caretta caretta,29/4/1996,29,4,1996,80,,south,
Caretta caretta,29/4/1996,29,4,1996,56,,south,
Caretta caretta,29/4/1996,29,4,1996,60,,south,
Chelonia mydas,29/4/1996,29,4,1996,33,,south,
Chelonia mydas,29/4/1996,29,4,1996,40,,south,
Caretta caretta,1/5/96,1,5,1996,,,south,
Caretta caretta,1/5/96,1,5,1996,,,south,
Caretta caretta,28/5/1996,28,5,1996,61,,south,
Caretta caretta,10/6/96,10,6,1996,88,,south,
Caretta caretta,10/6/96,10,6,1996,75,sem cabeça,south,
Caretta caretta,10/6/96,10,6,1996,90,sem cabeça,south,
Caretta caretta,10/6/96,10,6,1996,84,,south,
Chelonia mydas,13/6/1996,13,6,1996,31,junto com rejeito e rede de pesca de camar‹o sete barbas (avi‹ozinho),south,
Caretta caretta,13/6/1996,13,6,1996,72,,south,
Caretta caretta,13/6/1996,13,6,1996,73,,south,
Caretta caretta,13/6/1996,13,6,1996,76,,south,
Chelonia mydas,15/6/1996,15,6,1996,32,,south,
Chelonia mydas,17/8/1996,17,8,1996,42,,south,
Chelonia mydas,28/8/1996,28,8,1996,38,,south,
Chelonia mydas,7/10/96,7,10,1996,36,,south,
Chelonia mydas,7/10/96,7,10,1996,32,,south,
Caretta caretta,30/10/1996,30,10,1996,85,sem cabeça,south,
Caretta caretta,30/10/1996,30,10,1996,86,sem cabeça,south,
Caretta caretta,4/11/96,4,11,1996,,,south,
Caretta caretta,4/11/96,4,11,1996,,,south,
Chelonia mydas,16/11/1996,16,11,1996,32,Capturada em rede de arrasto de praia. foi reintroduzida,south,
Chelonia mydas,16/11/1996,16,11,1996,42,Capturada em rede de arrasto de praia. foi reintroduzida,south,
Chelonia mydas,16/11/1996,16,11,1996,32,,south,
Chelonia mydas,20/11/1996,20,11,1996,31,,south,
Chelonia mydas,20/11/1996,20,11,1996,35,,south,
Chelonia mydas,20/11/1996,20,11,1996,34,,south,
Caretta caretta,20/11/1996,20,11,1996,77,,south,
Chelonia mydas,20/11/1996,20,11,1996,35,,south,
Caretta caretta,20/11/1996,20,11,1996,102,,south,
Chelonia mydas,27/11/1996,27,11,1996,40,com fotos de slide,south,
Caretta caretta,3/12/96,3,12,1996,106,com cracas,south,
Chelonia mydas,5/12/96,5,12,1996,37,,south,
Chelonia mydas,9/12/96,9,12,1996,81,,south,
Chelonia mydas,9/12/96,9,12,1996,,,south,
Chelonia mydas,9/12/96,9,12,1996,38,,south,
Caretta caretta,9/12/96,9,12,1996,71,,south,
Caretta caretta,9/12/96,9,12,1996,70,,south,
Chelonia mydas,9/12/96,9,12,1996,,,south,
Caretta caretta,17/12/1996,17,12,1996,99,,south,
Caretta caretta,17/12/1996,17,12,1996,69,,south,
Chelonia mydas,27/1/1997,27,1,1997,50,sem cabeça,south,
Chelonia mydas,26/2/1997,26,2,1997,,,south,
Chelonia mydas,26/2/1997,26,2,1997,,,south,
Chelonia mydas,26/2/1997,26,2,1997,34,,south,
Caretta caretta,31/3/1997,31,3,1997,76,,south,
Chelonia mydas,31/3/1997,31,3,1997,89,,south,
Caretta caretta,31/3/1997,31,3,1997,60,,south,
Chelonia mydas,31/3/1997,31,3,1997,66,,south,
Caretta caretta,18/4/1997,18,4,1997,71,,south,
Chelonia mydas,18/4/1997,18,4,1997,51,,south,
Chelonia mydas,18/4/1997,18,4,1997,60,,south,
Chelonia mydas,20/5/1997,20,5,1997,39,,south,
Caretta caretta,10/6/97,10,6,1997,68,,south,
Chelonia mydas,16/7/1997,16,7,1997,98,,south,
Chelonia mydas,16/7/1997,16,7,1997,32,,south,
Chelonia mydas,21/8/1997,21,8,1997,46,,south,
Caretta caretta,21/8/1997,21,8,1997,70,,south,
Caretta caretta,5/9/97,5,9,1997,79,,south,
Chelonia mydas,25/9/1997,25,9,1997,41,,south,
Chelonia mydas,20/10/1997,20,10,1997,44,,south,
Chelonia mydas,20/10/1997,20,10,1997,43,,south,
Chelonia mydas,20/10/1997,20,10,1997,36,"casco com areia. algas, poliquetas e caranguejos",south,
Chelonia mydas,20/10/1997,20,10,1997,38,"casco com areia. algas, poliquetas e caranguejos",south,
Chelonia mydas,20/10/1997,20,10,1997,33,,south,
Chelonia mydas,20/10/1997,20,10,1997,36,,south,
Chelonia mydas,20/10/1997,20,10,1997,36,,south,
Chelonia mydas,20/10/1997,20,10,1997,40,,south,
Caretta caretta,28/10/1997,28,10,1997,96,,south,
Chelonia mydas,28/10/1997,28,10,1997,43,,south,
Caretta caretta,28/10/1997,28,10,1997,80,,south,
Caretta caretta,28/10/1997,28,10,1997,88,,south,
Chelonia mydas,23/11/1997,23,11,1997,37,sem nadadeira anterior esquerda. com cracas e algas no casco,south,
Caretta caretta,29/11/1997,29,11,1997,89,,south,
Caretta caretta,29/11/1997,29,11,1997,74,,south,
Caretta caretta,29/11/1997,29,11,1997,,,south,
Chelonia mydas,29/11/1997,29,11,1997,38.5,,south,
Chelonia mydas,29/11/1997,29,11,1997,42,,south,
Chelonia mydas,29/11/1997,29,11,1997,40,,south,
Caretta caretta,29/11/1997,29,11,1997,,,south,
Caretta caretta,29/11/1997,29,11,1997,60,,south,
Caretta caretta,29/11/1997,29,11,1997,76,,south,
Chelonia mydas,29/11/1997,29,11,1997,,,south,
Chelonia mydas,29/11/1997,29,11,1997,39,sem cabeça,south,
Caretta caretta,29/11/1997,29,11,1997,83,,south,
Caretta caretta,29/11/1997,29,11,1997,60,,south,
Chelonia mydas,29/11/1997,29,11,1997,36,,south,
Chelonia mydas,29/11/1997,29,11,1997,38,,south,
Chelonia mydas,29/11/1997,29,11,1997,38,,south,
Chelonia mydas,29/11/1997,29,11,1997,41,,south,
Chelonia mydas,29/11/1997,29,11,1997,36,,south,
Chelonia mydas,4/12/97,4,12,1997,43,,south,
Chelonia mydas,19/12/1997,19,12,1997,42,,south,
Chelonia mydas,19/12/1997,19,12,1997,35,incrustada de algas e mariscos,south,
Chelonia mydas,19/12/1997,19,12,1997,45,,south,
Caretta caretta,19/12/1997,19,12,1997,79,,south,
Chelonia mydas,19/12/1997,19,12,1997,37.5,amostrada #1 e reintroduzida,south,
Caretta caretta,19/12/1997,19,12,1997,59,,south,
Chelonia mydas,19/12/1997,19,12,1997,36,com Balanus,south,
