,sst,year,month
1,20.56999954,1982,1
2,21.38999952,1982,2
3,21.54999952,1982,3
4,20.41999954,1982,4
5,18.62999958,1982,5
6,16.80999962,1982,6
7,14.96999967,1982,7
8,14.50999968,1982,8
9,15.60999965,1982,9
10,16.80999962,1982,10
11,17.24999961,1982,11
12,19.19999957,1982,12
13,21.70999951,1983,1
14,22.12999951,1983,2
15,21.18999953,1983,3
16,19.90999955,1983,4
17,18.32999959,1983,5
18,16.57999963,1983,6
19,14.42999968,1983,7
20,14.05999969,1983,8
21,14.67999967,1983,9
22,16.26999964,1983,10
23,18.0499996,1983,11
24,19.94999955,1983,12
25,22.02999951,1984,1
26,22.3799995,1984,2
27,21.68999952,1984,3
28,19.70999956,1984,4
29,17.38999961,1984,5
30,15.80999965,1984,6
31,14.68999967,1984,7
32,13.71999969,1984,8
33,14.93999967,1984,9
34,16.53999963,1984,10
35,17.9699996,1984,11
36,19.33999957,1984,12
37,21.03999953,1985,1
38,21.89999951,1985,2
39,21.64999952,1985,3
40,19.74999956,1985,4
41,17.26999961,1985,5
42,15.86999965,1985,6
43,15.27999966,1985,7
44,15.37999966,1985,8
45,16.00999964,1985,9
46,16.94999962,1985,10
47,18.48999959,1985,11
48,20.31999955,1985,12
49,21.84999951,1986,1
50,22.5099995,1986,2
51,21.17999953,1986,3
52,19.59999956,1986,4
53,18.20999959,1986,5
54,16.63999963,1986,6
55,15.86999965,1986,7
56,14.91999967,1986,8
57,15.28999966,1986,9
58,16.64999963,1986,10
59,18.15999959,1986,11
60,20.01999955,1986,12
61,21.15999953,1987,1
62,21.96999951,1987,2
63,22.09999951,1987,3
64,20.47999954,1987,4
65,17.7699996,1987,5
66,15.30999966,1987,6
67,14.33999968,1987,7
68,14.81999967,1987,8
69,15.25999966,1987,9
70,15.85999965,1987,10
71,17.7299996,1987,11
72,19.44999957,1987,12
73,20.84999953,1988,1
74,20.98999953,1988,2
75,21.52999952,1988,3
76,19.62999956,1988,4
77,17.46999961,1988,5
78,15.33999966,1988,6
79,14.27999968,1988,7
80,14.07999969,1988,8
81,14.05999969,1988,9
82,15.43999965,1988,10
83,16.79999962,1988,11
84,18.73999958,1988,12
85,20.82999953,1989,1
86,21.96999951,1989,2
87,21.71999951,1989,3
88,19.80999956,1989,4
89,18.0499996,1989,5
90,16.47999963,1989,6
91,15.28999966,1989,7
92,15.01999966,1989,8
93,15.14999966,1989,9
94,15.70999965,1989,10
95,17.57999961,1989,11
96,20.07999955,1989,12
97,20.90999953,1990,1
98,21.40999952,1990,2
99,20.87999953,1990,3
100,19.62999956,1990,4
101,17.8699996,1990,5
102,16.01999964,1990,6
103,14.66999967,1990,7
104,14.58999967,1990,8
105,14.89999967,1990,9
106,16.16999964,1990,10
107,18.0599996,1990,11
108,19.36999957,1990,12
109,20.56999954,1991,1
110,21.28999952,1991,2
111,20.96999953,1991,3
112,20.18999955,1991,4
113,18.61999958,1991,5
114,17.11999962,1991,6
115,16.03999964,1991,7
116,15.24999966,1991,8
117,16.19999964,1991,9
118,16.77999962,1991,10
119,17.8799996,1991,11
120,19.83999956,1991,12
121,21.47999952,1992,1
122,22.76999949,1992,2
123,22.03999951,1992,3
124,20.33999955,1992,4
125,18.33999959,1992,5
126,17.23999961,1992,6
127,16.04999964,1992,7
128,15.14999966,1992,8
129,15.20999966,1992,9
130,16.37999963,1992,10
131,17.8699996,1992,11
132,19.61999956,1992,12
133,21.77999951,1993,1
134,21.90999951,1993,2
135,21.26999952,1993,3
136,20.55999954,1993,4
137,18.29999959,1993,5
138,16.03999964,1993,6
139,15.50999965,1993,7
140,15.14999966,1993,8
141,14.49999968,1993,9
142,15.74999965,1993,10
143,17.56999961,1993,11
144,19.34999957,1993,12
145,20.62999954,1994,1
146,20.90999953,1994,2
147,21.30999952,1994,3
148,19.74999956,1994,4
149,17.8099996,1994,5
150,16.58999963,1994,6
151,15.19999966,1994,7
152,14.27999968,1994,8
153,14.66999967,1994,9
154,16.71999963,1994,10
155,18.0299996,1994,11
156,20.34999955,1994,12
157,21.93999951,1995,1
158,22.00999951,1995,2
159,21.44999952,1995,3
160,19.96999955,1995,4
161,17.9899996,1995,5
162,16.51999963,1995,6
163,15.09999966,1995,7
164,14.47999968,1995,8
165,15.17999966,1995,9
166,15.89999964,1995,10
167,17.9999996,1995,11
168,20.24999955,1995,12
169,21.03999953,1996,1
170,21.61999952,1996,2
171,21.45999952,1996,3
172,19.64999956,1996,4
173,17.61999961,1996,5
174,15.23999966,1996,6
175,13.69999969,1996,7
176,14.07999969,1996,8
177,14.26999968,1996,9
178,16.66999963,1996,10
179,18.35999959,1996,11
180,19.97999955,1996,12
181,21.75999951,1997,1
182,21.49999952,1997,2
183,21.36999952,1997,3
184,20.10999955,1997,4
185,18.57999958,1997,5
186,17.18999962,1997,6
187,15.39999966,1997,7
188,15.08999966,1997,8
189,15.38999966,1997,9
190,16.80999962,1997,10
191,18.82999958,1997,11
192,20.43999954,1997,12
193,21.53999952,1998,1
194,21.81999951,1998,2
195,21.53999952,1998,3
196,19.48999956,1998,4
197,18.28999959,1998,5
198,16.36999963,1998,6
199,15.16999966,1998,7
200,14.88999967,1998,8
201,15.03999966,1998,9
202,16.65999963,1998,10
203,17.9199996,1998,11
204,19.51999956,1998,12
205,20.51999954,1999,1
206,21.74999951,1999,2
207,21.96999951,1999,3
208,19.10999957,1999,4
209,17.38999961,1999,5
210,15.42999966,1999,6
211,14.59999967,1999,7
212,14.12999968,1999,8
213,15.10999966,1999,9
214,16.28999964,1999,10
215,18.12999959,1999,11
216,19.91999955,1999,12
217,21.33999952,2000,1
218,21.66999952,2000,2
219,20.93999953,2000,3
220,19.43999957,2000,4
221,17.7099996,2000,5
222,16.26999964,2000,6
223,13.99999969,2000,7
