"","day","month","year","w10"
"1",1,1,1991,0
"2",2,1,1991,0
"3",3,1,1991,0
"4",4,1,1991,0
"5",5,1,1991,0
"6",6,1,1991,0
"7",7,1,1991,0
"8",8,1,1991,0
"9",9,1,1991,0
"10",10,1,1991,0
"11",11,1,1991,16.0185185203667
"12",12,1,1991,15.7981481504333
"13",13,1,1991,16.1851851874333
"14",14,1,1991,15.4555555574333
"15",15,1,1991,15.2111111129
"16",16,1,1991,13.4796296307167
"17",17,1,1991,10.08148148205
"18",18,1,1991,8.60000000056667
"19",19,1,1991,9.26296296476667
"20",20,1,1991,10.3407407441833
"21",21,1,1991,10.7259259295
"22",22,1,1991,10.8407407439833
"23",23,1,1991,9.9351851886
"24",24,1,1991,9.65185185568333
"25",25,1,1991,10.1888888930167
"26",26,1,1991,10.9666666711833
"27",27,1,1991,11.7333333379
"28",28,1,1991,13.0870370415167
"29",29,1,1991,14.0833333378333
"30",30,1,1991,13.0240740777667
"31",31,1,1991,9.66111111433333
"32",1,2,1991,8.45370370713333
"33",2,2,1991,7.88333333696667
"34",3,2,1991,7.8518518555
"35",4,2,1991,7.6074074108
"36",5,2,1991,7.63703704016667
"37",6,2,1991,7.00925926201667
"38",7,2,1991,6.61851852116667
"39",8,2,1991,6.58518518778333
"40",9,2,1991,5.1629629651
"41",10,2,1991,4.48518518748333
"42",11,2,1991,6.39629629865
"43",12,2,1991,6.95555555696667
"44",13,2,1991,6.3962962981
"45",14,2,1991,4.95370370593333
"46",15,2,1991,3.94814815088333
"47",16,2,1991,3.1962962991
"48",17,2,1991,2.60185185458333
"49",18,2,1991,2.49259259528333
"50",19,2,1991,2.22962963225
"51",20,2,1991,2.0740740767
"52",21,2,1991,2.45370370636667
"53",22,2,1991,2.93703703948333
"54",23,2,1991,3.73888889258333
"55",24,2,1991,5.0481481513
"56",25,2,1991,6.41296296475
"57",26,2,1991,7.01111111195
"58",27,2,1991,7.97777777805
"59",28,2,1991,7.7962962959
"60",1,3,1991,7.30185185125
"61",2,3,1991,6.92777777678333
"62",3,3,1991,6.88148148045
"63",4,3,1991,6.55740740543333
"64",5,3,1991,6.55740740551667
"65",6,3,1991,5.75555555328333
"66",7,3,1991,5.69259259061667
"67",8,3,1991,5.17777777633333
"68",9,3,1991,5.4962962947
"69",10,3,1991,4.99629629453333
"70",11,3,1991,5.38148148018333
"71",12,3,1991,5.65185185046667
"72",13,3,1991,6.28518518426667
"73",14,3,1991,6.9925925919
"74",15,3,1991,7.17777777808333
"75",16,3,1991,7.79074074161667
"76",17,3,1991,8.56851851946667
"77",18,3,1991,8.42407407468333
"78",19,3,1991,8.48148148236667
"79",20,3,1991,7.57777777931667
"80",21,3,1991,7.92777778015
"81",22,3,1991,8.50740741003333
"82",23,3,1991,8.32407407618333
"83",24,3,1991,7.79444444615
"84",25,3,1991,7.26111111215
"85",26,3,1991,7.98888888886667
"86",27,3,1991,7.24814814768333
"87",28,3,1991,6.88888888861667
"88",29,3,1991,7.43333333308333
"89",30,3,1991,7.93888888798333
"90",31,3,1991,8.3148148133
"91",1,4,1991,7.52777777586667
"92",2,4,1991,6.65370370156667
"93",3,4,1991,6.95555555388333
"94",4,4,1991,6.46666666523333
"95",5,4,1991,6.07407407303333
"96",6,4,1991,5.1722222219
"97",7,4,1991,4.08333333223333
"98",8,4,1991,3.61851851721667
"99",9,4,1991,3.02592592481667
"100",10,4,1991,2.69629629556667
"101",11,4,1991,3.2166666665
"102",12,4,1991,3.52962962975
"103",13,4,1991,3.916666667
"104",14,4,1991,3.50925925975
"105",15,4,1991,4.0092592596
"106",16,4,1991,3.59629629655
"107",17,4,1991,2.57037037098333
"108",18,4,1991,1.695370371275
"109",19,4,1991,0.982407408675
