"","year","Strandings","Mean","SD","Min","Max","Strandings","Mean","SD","Min","Max"
"1","1996",32,41.54,14.68,31,81,50,78.92,12.42,56,110
"2","1997",78,41.06,10.43,29,98,32,76.38,11.01,59,96
"3","1998",37,40.69,8.42,31,70,42,77.56,11.61,51,103.5
"4","1999",36,40.31,3.34,32,46,14,72.25,16.76,39,95
"5","2000",18,41.12,5.29,35,55,49,73.22,13.87,35,108
"6","2001",38,43.38,12.41,34,80,63,74.77,12.84,44,110
"7","2002",73,41.58,9.09,32,94,66,74.38,12.31,53,105
"8","2003",45,40.39,5.02,30.6,53,101,73.05,13.03,43,115
"9","2004",167,40.65,6.65,29,71.5,318,73.27,11.74,32.79,106
"10","2005",160,40.89,5.46,29.5,55,290,70.66,11.63,52,109
"11","2006",144,40.12,6.93,29,78,310,70.19,12.83,37.5,109.5
"12","2007",134,41.24,6.27,29,59,138,76.29,13.54,51,115
"13","2008",193,40.36,6.5,28,72,186,74.93,11.86,53,106.1
"14","2009",159,39.16,5.69,29,61,237,75.03,12.29,47,110
"15","2010",315,36.69,4.65,26,52,360,70.35,11.82,33,102
"16","2011",438,38.14,4.88,26.5,65,449,71.39,13.05,36,110
"17","2012",239,38.9,4.66,27,56.5,280,70.71,12.79,39,107
"18","2013",295,39.99,6.86,29,96,219,75.94,13.36,40,113.5
"19","2014",439,38.35,6.76,27,89,405,77.38,13.27,24,114
"20","2015",631,39.93,7.73,24.8,125.6,817,75.9,11.58,20.3,108
"21","2016",196,40.54,6.12,30,65,582,79.85,9.72,35.6,105
"22","2017",415,37.13,5.96,27.5,70.5,802,77.3,10.72,35,111
"23","2018",124,38.07,7.99,29.5,96,367,78.89,10.71,55,112
"24","total",4406,39.23,6.74,24.8,125.6,6177,74.93,12.28,20.3,115
